"fecha","local","gl","visitante","gv","arbitro","timestamp"
"27","Sarmiento","0","Estudiantes La Plata","1","Fernando Espinoza","2015-10-03 17:15:00"
"27","San Lorenzo","2","Rosario Central","2","Germán Delfino","2015-10-03 19:10:00"
"27","Unión Santa Fe","0","Colón","0","Darío Herrera","2015-10-04 17:00:00"
"27","Vélez Sarsfield","1","Nueva Chicago","2","Jorge Baliño","2015-10-04 15:00:00"
"28","Crucero del Norte","0","Independiente","4","Diego Ceballos","2015-10-16 22:10:00"
"28","Rosario Central","2","Argentinos Juniors","0","Juan Pablo Pompei","2015-10-18 17:10:00"
"28","Nueva Chicago","5","Newell's Old Boys","0","Diego Abal","2015-10-17 16:15:00"
"28","Colón","3","Arsenal de Sarandí","1","Silvio Trucco","2015-10-17 18:30:00"
"28","Defensa y Justicia","0","Unión Santa Fe","0","Ariel Penel","2015-10-19 21:15:00"
"28","Estudiantes La Plata","4","Quilmes","1","Pedro Argañaraz","2015-10-17 21:30:00"
"28","CA Huracán","3","Sarmiento","0","Fernando Rapallini","2015-10-16 21:00:00"
"28","Lanús","0","Vélez Sarsfield","1","Fernando Echenique","2015-10-17 21:45:00"
"28","Olimpo","2","San Lorenzo","1","Darío Herrera","2015-10-18 17:10:00"
"28","Racing Club","3","Boca Juniors","1","Patricio Loustau","2015-10-18 22:30:00"
"28","Atletico Rafaela","1","Godoy Cruz","4","Sergio Pezzotta","2015-10-17 17:15:00"
"28","River Plate","1","Aldosivi","1","Germán Delfino","2015-10-18 19:30:00"
"28","San Martín San Juan","1","Belgrano","1","Jorge Baliño","2015-10-17 19:30:00"
"28","Temperley","1","Gimnasia La Plata","3","Néstor Pitana","2015-10-20 18:00:00"
"28","Tigre","3","Banfield","1","Andrés Merlos","2015-10-18 17:15:00"
"29","Aldosivi","1","Independiente","0","Jorge Baliño","2015-11-01 21:30:00"
"29","Argentinos Juniors","0","Olimpo","1","Héctor Paletta","2015-11-02 21:10:00"
"29","Arsenal de Sarandí","1","Defensa y Justicia","0","Germán Delfino","2015-11-02 20:01:00"
"29","Banfield","2","Rosario Central","1","Fernando Espinoza","2015-11-01 18:00:00"
"29","Belgrano","2","Estudiantes La Plata","1","Fernando Echenique","2015-10-31 16:30:00"
"29","Boca Juniors","1","Tigre","0","Federico Beligoy","2015-11-01 18:00:00"
"29","Gimnasia La Plata","1","Atletico Rafaela","0","Patricio Loustau","2015-10-31 17:10:00"
"29","Godoy Cruz","1","Colón","3","Saúl Laverni","2015-10-30 21:10:00"
"29","Newell's Old Boys","1","Lanús","1","Néstor Pitana","2015-10-31 21:10:00"
"29","Quilmes","2","CA Huracán","1","Diego Ceballos","2015-11-01 15:30:00"
"29","Racing Club","3","Crucero del Norte","0","Sergio Pezzotta","2015-10-31 20:30:00"
"29","Sarmiento","1","Nueva Chicago","2","Darío Herrera","2015-10-30 21:10:00"
"29","San Lorenzo","2","Temperley","0","Mauro Vigliano","2015-11-01 18:00:00"
"29","Unión Santa Fe","0","San Martín San Juan","0","Juan Pablo Pompei","2015-10-31 19:20:00"
"29","Vélez Sarsfield","0","River Plate","1","Nicolás Lamolina","2015-10-31 19:00:00"
"30","Crucero del Norte","0","Aldosivi","2","Patricio Loustau","2015-11-09 20:10:00"
"30","Rosario Central","3","Boca Juniors","1","Mauro Vigliano","2015-11-08 18:15:00"
"30","Nueva Chicago","2","Quilmes","1","Sergio Pezzotta","2015-11-09 15:30:00"
"30","Colón","2","Gimnasia La Plata","1","Andrés Merlos","2015-11-07 18:00:00"
"30","Defensa y Justicia","1","Godoy Cruz","1","Juan Pablo Pompei","2015-11-07 15:30:00"
"30","Estudiantes La Plata","2","Unión Santa Fe","0","Jorge Baliño","2015-11-07 20:30:00"
"30","CA Huracán","1","Belgrano","1","Néstor Pitana","2015-11-09 15:30:00"
"30","Independiente","1","Vélez Sarsfield","0","Ariel Penel","2015-11-08 21:30:00"
"30","Lanús","2","Sarmiento","1","Patricio Loustau","2015-11-06 21:10:00"
"30","Olimpo","1","Banfield","2","Federico Beligoy","2015-11-07 20:30:00"
"30","Atletico Rafaela","0","San Lorenzo","1","Germán Delfino","2015-11-08 18:15:00"
"30","River Plate","0","Newell's Old Boys","2","Fernando Echenique","2015-11-08 16:00:00"
"30","San Martín San Juan","1","Arsenal de Sarandí","0","Darío Herrera","2015-11-07 18:30:00"
"30","Temperley","0","Argentinos Juniors","0","Saúl Laverni","2015-11-09 15:30:00"
"30","Tigre","0","Racing Club","0","Fernando Espinoza","2015-11-08 18:15:00"
